hand,flop,turn,river
AA,0.871151,0.757,0.638438
KK,0.808634,0.695578,0.583056
QQ,0.748678,0.638826,0.534999
JJ,0.69207,0.585969,0.491297
TT,0.640805,0.538395,0.451771
AKs,0.455227,0.435035,0.412942
99,0.590447,0.491844,0.410606
AQs,0.439425,0.417381,0.398865
AKo,0.449122,0.41762,0.385861
AJs,0.420663,0.399064,0.38391
KQs,0.375233,0.38273,0.380395
88,0.544357,0.450882,0.375586
ATs,0.4037,0.384366,0.372191
AQo,0.43172,0.398729,0.368639
KJs,0.36147,0.368253,0.367751
QJs,0.318463,0.344857,0.358354
KTs,0.347763,0.353881,0.357134
AJo,0.414141,0.38083,0.353088
KQo,0.370142,0.365408,0.352367
QTs,0.303849,0.329884,0.345955
A9s,0.386172,0.360491,0.345304
77,0.499768,0.411701,0.344147
ATo,0.398473,0.365234,0.339625
JTs,0.275186,0.314057,0.338475
KJo,0.354049,0.348047,0.336364
A8s,0.370798,0.34634,0.332915
K9s,0.329527,0.330128,0.331305
QJo,0.310895,0.324824,0.325369
KTo,0.338959,0.332969,0.323799
A7s,0.355248,0.332052,0.322516
Q9s,0.288234,0.306335,0.317967
A5s,0.331047,0.31586,0.317512
66,0.459742,0.376445,0.314969
J9s,0.261683,0.292866,0.314178
QTo,0.296746,0.309483,0.313099
A9o,0.379349,0.341155,0.311524
A6s,0.341719,0.319283,0.310686
A4s,0.316162,0.304027,0.309866
T9s,0.240818,0.280768,0.308963
JTo,0.268003,0.294358,0.308084
K8s,0.310689,0.307476,0.305957
A3s,0.303091,0.297286,0.302348
A8o,0.362512,0.325664,0.298874
K7s,0.299311,0.296552,0.298844
Q8s,0.274523,0.287991,0.296553
K9o,0.322712,0.310145,0.294941
A2s,0.291051,0.289036,0.293113
K6s,0.286802,0.286445,0.291134
J8s,0.246261,0.271856,0.291006
T8s,0.229959,0.264332,0.290504
55,0.420102,0.343655,0.289717
A7o,0.348798,0.311036,0.287763
Q9o,0.281155,0.286672,0.283993
98s,0.214981,0.254417,0.283694
K5s,0.275148,0.275185,0.283309
J9o,0.25281,0.271692,0.279083
A5o,0.322085,0.292849,0.278729
Q7s,0.259424,0.269097,0.277336
T9o,0.235141,0.261441,0.27686
A6o,0.333691,0.296834,0.274891
K4s,0.261674,0.264112,0.273952
A4o,0.308783,0.283772,0.272026
K8o,0.305944,0.288474,0.271145
Q6s,0.247543,0.258152,0.270992
T7s,0.216187,0.245365,0.270135
J7s,0.232342,0.253018,0.26942
K3s,0.249895,0.256168,0.268545
87s,0.194449,0.235476,0.267319
97s,0.204422,0.238509,0.266536
K2s,0.241727,0.252576,0.263629
A3o,0.295913,0.273891,0.263376
44,0.384613,0.311828,0.26285
Q5s,0.235519,0.247139,0.262587
K7o,0.292253,0.275595,0.262484
Q8o,0.266617,0.266289,0.261858
Q4s,0.22627,0.239372,0.255703
J8o,0.240181,0.251713,0.255494
T8o,0.220939,0.242637,0.254626
A2o,0.28245,0.266264,0.254475
J6s,0.220058,0.23607,0.252354
K6o,0.279227,0.263306,0.251996
T6s,0.203267,0.227805,0.251466
76s,0.176804,0.215427,0.251051
98o,0.208271,0.23508,0.250188
Q3s,0.215842,0.23206,0.249058
86s,0.182435,0.217847,0.248894
96s,0.189169,0.22012,0.247145
J5s,0.210205,0.227778,0.246809
K5o,0.266121,0.251223,0.243657
Q2s,0.207453,0.225961,0.241754
J4s,0.199708,0.218139,0.239808
33,0.350143,0.283345,0.238768
Q7o,0.250441,0.24605,0.238763
65s,0.162955,0.199872,0.236724
K4o,0.255194,0.242204,0.235684
75s,0.167497,0.202505,0.235582
J7o,0.225108,0.231928,0.233993
J3s,0.191526,0.212683,0.232684
Q6o,0.238885,0.235333,0.232231
T7o,0.207717,0.223062,0.232208
85s,0.172268,0.201753,0.231738
97o,0.196256,0.21742,0.230409
T5s,0.190645,0.210018,0.230294
87o,0.187809,0.212963,0.230031
95s,0.178358,0.20448,0.229106
K3o,0.243654,0.234616,0.228771
T4s,0.183033,0.204867,0.228452
J2s,0.183501,0.207194,0.228148
54s,0.148988,0.188447,0.226703
Q5o,0.22961,0.225855,0.223895
64s,0.152231,0.186209,0.222035
T3s,0.174367,0.197992,0.220649
K2o,0.232382,0.227722,0.220196
22,0.317773,0.257696,0.219993
74s,0.157235,0.187369,0.217123
Q4o,0.218042,0.216604,0.215384
84s,0.160412,0.18792,0.214513
T2s,0.16645,0.191001,0.214254
94s,0.169321,0.190625,0.214029
76o,0.16927,0.19374,0.213725
J6o,0.212065,0.213824,0.213694
86o,0.17602,0.196882,0.2126
T6o,0.195431,0.20491,0.211739
96o,0.184973,0.20028,0.211344
53s,0.139096,0.174674,0.211248
93s,0.161097,0.183584,0.20796
Q3o,0.20831,0.208673,0.207914
J5o,0.202186,0.204789,0.207544
63s,0.143823,0.173597,0.204721
43s,0.133202,0.168506,0.203929
92s,0.154883,0.179342,0.202367
73s,0.147212,0.173417,0.201651
J4o,0.193826,0.197579,0.200854
Q2o,0.199036,0.202629,0.2007
65o,0.154673,0.178973,0.199498
83s,0.151575,0.174101,0.198586
75o,0.159657,0.179816,0.196966
52s,0.128976,0.161217,0.194607
T5o,0.183154,0.188356,0.193721
82s,0.144223,0.16815,0.192836
85o,0.164165,0.18018,0.19282
J3o,0.184128,0.188852,0.192507
95o,0.17217,0.183152,0.191664
42s,0.124529,0.157081,0.188767
54o,0.141464,0.165837,0.188357
T4o,0.174293,0.180483,0.186907
62s,0.132506,0.159677,0.186616
J2o,0.175239,0.183585,0.185644
72s,0.136666,0.158538,0.182661
64o,0.14458,0.164414,0.182496
32s,0.118247,0.150271,0.180256
T3o,0.166059,0.173131,0.179912
74o,0.148821,0.163693,0.177318
84o,0.154072,0.165374,0.175094
94o,0.161788,0.167887,0.173544
T2o,0.158841,0.167891,0.173056
53o,0.131445,0.152695,0.172144
93o,0.153578,0.161188,0.167535
63o,0.135411,0.150815,0.165237
43o,0.125896,0.146307,0.164125
92o,0.146522,0.155761,0.160532
73o,0.139381,0.150248,0.159987
83o,0.144528,0.151152,0.15723
52o,0.122991,0.13983,0.153936
82o,0.137291,0.146027,0.152807
42o,0.116216,0.133214,0.147223
62o,0.125656,0.136979,0.14613
72o,0.130295,0.137837,0.142985
32o,0.110858,0.128283,0.139398
