hand,flop,turn,river
AA,0.757173,0.580033,0.435588
KK,0.658764,0.497543,0.375183
QQ,0.571037,0.426565,0.325269
JJ,0.494663,0.368291,0.285496
AKs,0.305265,0.298428,0.276887
AQs,0.283675,0.277006,0.26013
TT,0.429019,0.319087,0.253157
KQs,0.251033,0.259102,0.25168
AJs,0.262399,0.257295,0.245999
AKo,0.298656,0.278358,0.244047
KJs,0.23203,0.240778,0.238541
ATs,0.244066,0.240703,0.235235
QJs,0.209824,0.226854,0.231442
KTs,0.216072,0.224732,0.227816
AQo,0.275572,0.255238,0.224967
99,0.371625,0.277816,0.224194
QTs,0.195449,0.212686,0.222018
JTs,0.181434,0.204202,0.219897
KQo,0.242424,0.237381,0.216894
A9s,0.22327,0.216302,0.210749
AJo,0.25562,0.235842,0.209745
K9s,0.196135,0.201937,0.203262
A8s,0.207501,0.203274,0.202982
KJo,0.224816,0.219111,0.202955
88,0.321782,0.245128,0.202845
Q9s,0.178653,0.190093,0.197673
ATo,0.237179,0.218671,0.197646
QJo,0.20345,0.205887,0.197629
T9s,0.155022,0.178001,0.197095
J9s,0.165778,0.183541,0.197085
A5s,0.170424,0.18011,0.194696
A7s,0.192544,0.19087,0.194432
KTo,0.20769,0.203221,0.190892
A4s,0.158818,0.172753,0.189485
A6s,0.180287,0.181546,0.189152
K8s,0.179862,0.183172,0.186657
QTo,0.188532,0.19137,0.186609
A3s,0.14917,0.167845,0.186265
77,0.280524,0.217771,0.185565
JTo,0.173459,0.182705,0.185292
T8s,0.14238,0.162397,0.181638
A2s,0.13944,0.163686,0.180865
Q8s,0.162958,0.172668,0.180535
K7s,0.166124,0.171546,0.178974
J8s,0.149943,0.164706,0.178402
98s,0.133133,0.156475,0.177965
K6s,0.155249,0.163111,0.174339
66,0.245493,0.196285,0.17243
A9o,0.215821,0.193413,0.170257
K5s,0.14526,0.155684,0.169755
Q7s,0.147381,0.155969,0.166309
87s,0.115088,0.141195,0.166205
K4s,0.135583,0.149783,0.165689
97s,0.12208,0.143332,0.165222
T7s,0.127909,0.145331,0.16517
K9o,0.188788,0.179193,0.163968
J7s,0.13706,0.149047,0.163565
K3s,0.12666,0.143773,0.163362
T9o,0.148087,0.157299,0.16217
A8o,0.200124,0.179761,0.160885
55,0.216188,0.17817,0.160725
Q6s,0.138256,0.147638,0.160722
Q9o,0.171612,0.168669,0.160586
K2s,0.119529,0.141945,0.159864
J9o,0.157657,0.160952,0.159389
76s,0.100178,0.127683,0.157746
Q5s,0.127747,0.139977,0.156481
86s,0.104704,0.129035,0.154956
A7o,0.185236,0.168275,0.153299
Q4s,0.121528,0.135711,0.15305
44,0.192234,0.165717,0.152351
96s,0.110196,0.129832,0.1521
A5o,0.161948,0.15584,0.151655
65s,0.08715,0.119562,0.151037
T6s,0.116527,0.131425,0.150986
J6s,0.124986,0.135119,0.150362
Q3s,0.113382,0.131093,0.149871
75s,0.091342,0.119427,0.148632
A4o,0.151325,0.149446,0.147921
J5s,0.11618,0.129124,0.14775
54s,0.077887,0.112813,0.147749
Q2s,0.105545,0.128074,0.146538
K8o,0.171971,0.159828,0.146097
A6o,0.171859,0.157156,0.146003
33,0.171244,0.154644,0.145539
J4s,0.108623,0.124493,0.143802
85s,0.095811,0.118318,0.143613
T8o,0.133998,0.13956,0.14357
A3o,0.141232,0.143539,0.142948
98o,0.126429,0.136015,0.141912
Q8o,0.155511,0.150128,0.141654
64s,0.079813,0.111065,0.141305
22,0.155221,0.146894,0.141033
J8o,0.144003,0.143365,0.140818
J3s,0.102592,0.120378,0.140749
T5s,0.105383,0.119534,0.139525
95s,0.099763,0.117232,0.138675
K7o,0.158845,0.149173,0.138615
53s,0.071128,0.105549,0.138358
A2o,0.130939,0.139094,0.137323
J2s,0.096163,0.117566,0.137042
74s,0.082842,0.108841,0.136621
T4s,0.099641,0.115815,0.135887
T3s,0.092794,0.111504,0.132767
43s,0.066903,0.100653,0.132484
K6o,0.14729,0.139423,0.132456
T2s,0.088246,0.109066,0.131249
84s,0.086807,0.107073,0.130736
87o,0.108557,0.120677,0.130701
63s,0.072687,0.101041,0.128942
97o,0.114473,0.121895,0.128008
K5o,0.136332,0.131288,0.127969
94s,0.090863,0.106322,0.127797
T7o,0.12135,0.12402,0.127386
Q7o,0.140269,0.132524,0.124798
J7o,0.129605,0.12711,0.124775
93s,0.086112,0.104003,0.124624
52s,0.064613,0.095248,0.124565
K4o,0.127713,0.125985,0.123582
73s,0.07499,0.097845,0.123439
92s,0.080647,0.100916,0.122377
42s,0.06074,0.09384,0.121843
76o,0.093096,0.10785,0.121469
Q6o,0.130712,0.124895,0.12041
K3o,0.118707,0.120773,0.119611
83s,0.078342,0.096686,0.119562
62s,0.0657,0.091731,0.117844
32s,0.057748,0.090881,0.117731
86o,0.097493,0.107663,0.117448
K2o,0.110993,0.117935,0.116697
82s,0.074049,0.094964,0.116638
Q5o,0.120386,0.117441,0.115415
65o,0.080608,0.099039,0.11452
96o,0.103297,0.107607,0.113104
72s,0.067947,0.089434,0.112158
T6o,0.109484,0.109339,0.111533
Q4o,0.112459,0.111467,0.110939
75o,0.083816,0.09746,0.110019
J6o,0.116675,0.111969,0.109562
54o,0.070853,0.091927,0.109401
Q3o,0.105133,0.107418,0.107422
J5o,0.10813,0.105769,0.106055
85o,0.088119,0.095541,0.104256
Q2o,0.098266,0.104026,0.104085
64o,0.073103,0.089106,0.102949
J4o,0.101246,0.101332,0.102591
53o,0.064063,0.083506,0.099053
95o,0.092425,0.094935,0.098954
T5o,0.097845,0.0965,0.098637
J3o,0.094475,0.096813,0.098149
74o,0.075732,0.086102,0.096646
J2o,0.088159,0.093185,0.094894
T4o,0.091566,0.091612,0.094695
43o,0.059822,0.0795,0.092739
T3o,0.085548,0.088006,0.09166
84o,0.079083,0.084368,0.09044
63o,0.065524,0.078833,0.090134
T2o,0.07999,0.085356,0.088578
94o,0.084161,0.083986,0.086727
52o,0.057633,0.07449,0.086062
73o,0.068011,0.076022,0.083437
93o,0.078194,0.080474,0.083126
42o,0.053859,0.07146,0.082458
92o,0.073027,0.078003,0.080467
83o,0.070988,0.074749,0.078683
32o,0.050654,0.068443,0.077477
62o,0.059192,0.069801,0.077283
82o,0.066705,0.072166,0.075687
72o,0.060885,0.067081,0.071721
