hand,flop,turn,river
AA,0.954907,0.909531,0.852192
KK,0.931351,0.883345,0.824703
QQ,0.906961,0.857414,0.799141
JJ,0.881464,0.830898,0.773186
TT,0.858394,0.806446,0.749556
99,0.834115,0.779227,0.721472
88,0.80772,0.750233,0.69105
AKs,0.73402,0.700363,0.670353
77,0.786317,0.726322,0.663933
AQs,0.722737,0.691808,0.662206
AKo,0.733474,0.691598,0.654115
AJs,0.714615,0.681385,0.652666
ATs,0.707978,0.675188,0.647262
AQo,0.721484,0.680786,0.643449
AJo,0.712495,0.672554,0.636883
66,0.762281,0.698905,0.633837
KQs,0.66447,0.647791,0.631417
A9s,0.694813,0.657728,0.628447
ATo,0.702308,0.661096,0.626327
KJs,0.655675,0.640603,0.625799
A8s,0.685871,0.648009,0.619891
KTs,0.645654,0.630203,0.619021
KQo,0.660983,0.637891,0.615165
A7s,0.676725,0.638877,0.611565
A9o,0.691594,0.646605,0.608044
KJo,0.6509,0.627059,0.605113
QJs,0.599369,0.601596,0.604265
55,0.737044,0.670369,0.603063
K9s,0.634708,0.616805,0.600839
A8o,0.682216,0.63645,0.599416
A6s,0.667837,0.629018,0.599292
A5s,0.65989,0.622568,0.598098
KTo,0.641969,0.618302,0.597516
QTs,0.591362,0.593818,0.595427
A4s,0.647006,0.61073,0.588217
A7o,0.672368,0.625084,0.588081
K8s,0.621656,0.602074,0.583528
QJo,0.594708,0.589798,0.582104
A3s,0.636413,0.603522,0.581895
K9o,0.630271,0.602835,0.577382
Q9s,0.578586,0.577713,0.576584
A6o,0.662783,0.614961,0.576335
A5o,0.653549,0.60824,0.57613
A2s,0.627783,0.59765,0.575695
JTs,0.539376,0.558654,0.575296
K7s,0.614135,0.592312,0.573271
QTo,0.585924,0.579124,0.572095
44,0.711929,0.639671,0.569254
A4o,0.643572,0.599765,0.567756
K6s,0.60292,0.580628,0.564955
Q8s,0.565891,0.561365,0.55985
K8o,0.618101,0.586795,0.558912
A3o,0.635207,0.591618,0.558608
K5s,0.595093,0.572241,0.558419
J9s,0.529589,0.545483,0.556344
Q9o,0.573986,0.56419,0.554302
JTo,0.536247,0.545473,0.553698
K7o,0.60984,0.578418,0.552493
A2o,0.624826,0.585474,0.549546
K4s,0.584121,0.562638,0.54891
Q7s,0.555187,0.549629,0.543894
K6o,0.598889,0.566941,0.542296
J8s,0.517979,0.530737,0.540311
Q6s,0.5482,0.541201,0.539966
K3s,0.573113,0.551516,0.538982
T9s,0.482601,0.512853,0.537392
33,0.687282,0.612542,0.537201
Q8o,0.562175,0.548593,0.534981
K5o,0.590949,0.558307,0.534205
J9o,0.522463,0.528864,0.532586
K2s,0.564538,0.546727,0.530819
Q5s,0.536728,0.529945,0.528259
T8s,0.475408,0.503435,0.524592
K4o,0.578914,0.54662,0.522506
J7s,0.504427,0.514001,0.522389
Q4s,0.527024,0.520735,0.519554
Q7o,0.549411,0.532564,0.517104
T9o,0.478867,0.500545,0.516083
K3o,0.568905,0.537996,0.51326
J8o,0.510053,0.512154,0.512659
Q3s,0.516893,0.509966,0.510871
98s,0.435126,0.475927,0.509821
Q6o,0.538751,0.521545,0.507869
J6s,0.49502,0.499327,0.507863
T7s,0.461778,0.486585,0.507639
K2o,0.559597,0.533432,0.506361
22,0.664599,0.584322,0.503304
J5s,0.484218,0.490688,0.501591
Q2s,0.50652,0.503631,0.501017
Q5o,0.531717,0.51304,0.500774
J7o,0.500177,0.498694,0.496885
T8o,0.466368,0.483564,0.495928
Q4o,0.521128,0.503161,0.491399
97s,0.42108,0.458547,0.489035
T6s,0.448971,0.468874,0.488685
J4s,0.47146,0.477983,0.487444
J3s,0.465276,0.473563,0.48351
98o,0.429864,0.45991,0.482147
Q3o,0.510801,0.493381,0.481575
T7o,0.456674,0.469497,0.478864
87s,0.389477,0.437808,0.478604
J6o,0.488051,0.482748,0.478272
96s,0.412288,0.445315,0.475141
T5s,0.439182,0.456179,0.473321
J2s,0.454952,0.465767,0.472811
J5o,0.477348,0.472437,0.472805
Q2o,0.501859,0.488733,0.472534
T4s,0.426438,0.442894,0.463422
97o,0.41687,0.442838,0.463404
J4o,0.467679,0.462352,0.462172
T6o,0.444051,0.453681,0.460808
86s,0.378306,0.421951,0.460453
T3s,0.419241,0.437563,0.459034
95s,0.400743,0.43096,0.458878
76s,0.351046,0.405422,0.453817
J3o,0.458791,0.454902,0.452859
87o,0.3832,0.421323,0.450044
T2s,0.408515,0.43286,0.44849
85s,0.369668,0.409016,0.444723
96o,0.403683,0.42647,0.444359
J2o,0.448634,0.4484,0.44337
T5o,0.431574,0.435962,0.443205
94s,0.389531,0.415813,0.440457
75s,0.338215,0.391206,0.436734
T4o,0.421146,0.426649,0.43587
86o,0.371121,0.405072,0.432572
93s,0.375142,0.403148,0.432086
65s,0.317968,0.37637,0.431154
84s,0.352136,0.391628,0.426841
T3o,0.412185,0.419113,0.425994
95o,0.39031,0.408237,0.424374
92s,0.366857,0.399235,0.423831
76o,0.3445,0.387364,0.423411
T2o,0.402149,0.413913,0.417695
74s,0.325002,0.372496,0.417004
54s,0.286761,0.351526,0.414279
85o,0.358345,0.388454,0.414245
64s,0.301853,0.357089,0.411873
83s,0.34045,0.377224,0.410972
94o,0.379609,0.392983,0.406592
75o,0.331724,0.37065,0.404467
73s,0.312545,0.35831,0.400611
65o,0.310015,0.357554,0.400558
82s,0.32925,0.370176,0.400382
93o,0.369595,0.385016,0.399446
53s,0.275314,0.336475,0.398412
63s,0.292566,0.345488,0.395979
84o,0.346377,0.371984,0.395083
92o,0.360462,0.381387,0.391702
43s,0.261399,0.322833,0.388265
74o,0.319393,0.354787,0.386219
72s,0.299815,0.344912,0.382544
54o,0.278928,0.329448,0.380506
52s,0.260789,0.324158,0.379821
64o,0.296755,0.340029,0.379088
62s,0.278347,0.332097,0.37715
83o,0.335185,0.357251,0.37557
82o,0.324359,0.352222,0.369844
42s,0.2456,0.306447,0.366868
73o,0.304942,0.337336,0.365721
53o,0.268217,0.317082,0.364752
63o,0.282691,0.323326,0.358698
32s,0.238078,0.297521,0.358544
43o,0.25076,0.299621,0.351278
72o,0.29363,0.325848,0.346879
52o,0.254151,0.302193,0.343075
62o,0.270364,0.310756,0.341193
42o,0.239049,0.285985,0.331886
32o,0.228841,0.27433,0.322984
