hand,flop,turn,river
AA,0.660113,0.446992,0.311877
KK,0.541383,0.363713,0.260486
QQ,0.444613,0.297306,0.221515
AKs,0.252488,0.236078,0.207051
JJ,0.364669,0.24813,0.192567
AQs,0.227201,0.211104,0.190479
KQs,0.200868,0.197001,0.186207
AJs,0.203788,0.194139,0.181707
KJs,0.184187,0.181207,0.17634
ATs,0.184374,0.179337,0.173898
AKo,0.244848,0.214252,0.17211
QJs,0.163662,0.167591,0.171888
TT,0.300617,0.209566,0.170475
KTs,0.165107,0.166969,0.168538
QTs,0.149111,0.157008,0.165657
JTs,0.13511,0.149214,0.164304
99,0.251212,0.183767,0.155711
AQo,0.21965,0.191311,0.155491
A9s,0.165961,0.157801,0.153721
KQo,0.193454,0.175271,0.151028
T9s,0.110122,0.130228,0.14972
K9s,0.145473,0.14637,0.148146
A8s,0.148763,0.14631,0.148001
Q9s,0.130717,0.13719,0.146335
J9s,0.120061,0.131652,0.145577
88,0.213959,0.164037,0.144545
A5s,0.11387,0.12852,0.144061
AJo,0.196531,0.171151,0.142809
A4s,0.105695,0.124711,0.141926
A7s,0.133278,0.135774,0.141504
KJo,0.175524,0.158649,0.139656
A3s,0.097628,0.11999,0.138553
A6s,0.122916,0.12789,0.138543
77,0.182378,0.149105,0.136531
T8s,0.097903,0.116118,0.136375
QJo,0.157048,0.147366,0.136353
A2s,0.091323,0.118123,0.13625
K8s,0.129109,0.129674,0.135728
98s,0.090649,0.1118,0.134352
J8s,0.107392,0.118269,0.133301
ATo,0.175851,0.154559,0.133138
Q8s,0.116723,0.121565,0.132303
K7s,0.117127,0.12338,0.131727
KTo,0.156667,0.143863,0.130969
JTo,0.129813,0.129625,0.130946
66,0.159414,0.138276,0.129335
QTo,0.141463,0.13475,0.129206
K6s,0.10801,0.116252,0.127514
87s,0.077637,0.103138,0.127008
K5s,0.098884,0.110335,0.125088
97s,0.081881,0.104163,0.12505
T7s,0.08763,0.103092,0.123476
55,0.143294,0.131397,0.122685
J7s,0.095035,0.106144,0.122264
44,0.133197,0.127445,0.121861
33,0.123498,0.125702,0.121726
76s,0.065617,0.09529,0.121516
K4s,0.09048,0.105086,0.121404
K3s,0.084345,0.103099,0.121235
Q7s,0.103984,0.109813,0.120554
22,0.117967,0.124699,0.120493
K2s,0.078067,0.102046,0.119643
65s,0.058328,0.090818,0.119061
86s,0.070054,0.093637,0.11827
54s,0.052588,0.08805,0.117872
Q6s,0.094961,0.103154,0.116909
Q5s,0.087676,0.099439,0.114617
Q4s,0.079754,0.096289,0.114236
75s,0.059693,0.088311,0.114057
96s,0.072506,0.092886,0.113992
T9o,0.103104,0.107886,0.112941
T6s,0.077425,0.093635,0.112764
64s,0.053133,0.084523,0.111844
