hand,flop,turn,river
A9o,0.156706,0.133619,0.11154
Q3s,0.074839,0.092464,0.110589
J6s,0.082866,0.094986,0.10962
J9o,0.113687,0.110563,0.109592
85s,0.061426,0.085373,0.109327
Q2s,0.070192,0.091454,0.108477
J5s,0.076392,0.089475,0.108171
K9o,0.13823,0.122521,0.10768
53s,0.047428,0.081187,0.10748
Q9o,0.123905,0.114212,0.107042
J4s,0.071431,0.08764,0.105362
74s,0.054215,0.080373,0.104862
A8o,0.141368,0.122315,0.104772
J3s,0.06736,0.084867,0.104736
43s,0.04597,0.080002,0.10453
95s,0.065349,0.084475,0.104013
T5s,0.068492,0.083285,0.103118
J2s,0.062163,0.083814,0.102493
A5o,0.107184,0.105416,0.102159
63s,0.048261,0.078056,0.100609
T4s,0.064566,0.08095,0.099898
A7o,0.126602,0.112186,0.099823
98o,0.084591,0.09208,0.098554
T2s,0.057414,0.078502,0.098527
T3s,0.060363,0.079387,0.098507
T8o,0.091496,0.094264,0.098489
A4o,0.097166,0.099687,0.098423
84s,0.05596,0.077814,0.098213
52s,0.043662,0.073455,0.097911
A3o,0.089876,0.097188,0.097374
42s,0.04204,0.073488,0.095711
A6o,0.114046,0.103733,0.095526
J8o,0.1,0.09616,0.094238
73s,0.048571,0.073369,0.094062
K8o,0.122883,0.107297,0.09395
94s,0.058279,0.075594,0.093427
93s,0.054543,0.073237,0.092683
87o,0.070495,0.082587,0.092358
32s,0.040424,0.072348,0.092184
Q8o,0.10866,0.098869,0.092011
A2o,0.082673,0.093074,0.091725
92s,0.051198,0.072523,0.090775
62s,0.044092,0.070417,0.090366
83s,0.050167,0.070938,0.089392
K7o,0.108928,0.0983,0.08908
97o,0.074712,0.082657,0.088899
82s,0.047565,0.069324,0.087697
76o,0.059004,0.076257,0.087656
T7o,0.080411,0.081925,0.085209
K6o,0.099255,0.09177,0.084802
72s,0.042588,0.065859,0.084432
65o,0.051582,0.071624,0.084331
K5o,0.090146,0.086454,0.083007
86o,0.061401,0.073584,0.082568
54o,0.045445,0.068215,0.08191
J7o,0.087309,0.082339,0.081328
Q7o,0.09714,0.087236,0.081045
K4o,0.082874,0.082181,0.080138
75o,0.053211,0.068422,0.079193
K3o,0.076181,0.079253,0.077968
Q6o,0.087257,0.080722,0.076892
96o,0.065715,0.071303,0.076737
K2o,0.070897,0.07802,0.076286
64o,0.045899,0.064039,0.075069
T6o,0.070423,0.071252,0.074188
Q5o,0.079047,0.076079,0.073893
53o,0.041087,0.061674,0.073224
85o,0.054892,0.064512,0.072266
Q4o,0.07338,0.072845,0.071806
J6o,0.076096,0.071088,0.069644
Q3o,0.067861,0.070275,0.069443
43o,0.039153,0.05926,0.068668
74o,0.046928,0.060275,0.068463
Q2o,0.062412,0.06836,0.067976
J5o,0.069429,0.067755,0.0672
95o,0.058369,0.062604,0.065759
J4o,0.064515,0.064832,0.065675
63o,0.041329,0.056494,0.064552
J3o,0.059742,0.062903,0.063944
52o,0.037368,0.054824,0.063406
T5o,0.061778,0.061618,0.063368
J2o,0.055216,0.061073,0.061969
T4o,0.057275,0.059219,0.061263
84o,0.048937,0.05663,0.061142
42o,0.035437,0.053372,0.059832
T3o,0.053314,0.056914,0.059547
T2o,0.049512,0.055848,0.057709
73o,0.042114,0.052084,0.05722
32o,0.034015,0.051712,0.056041
94o,0.052256,0.05446,0.055812
93o,0.047535,0.052236,0.054181
62o,0.036629,0.04953,0.053976
92o,0.044704,0.051159,0.052363
83o,0.043654,0.048685,0.05103
82o,0.040179,0.047556,0.04965
72o,0.037164,0.045578,0.048023
