hand,flop,turn,river
AA,0.793404,0.632198,0.491805
KK,0.704521,0.553788,0.430525
QQ,0.623022,0.485327,0.378001
JJ,0.551673,0.426426,0.335533
AKs,0.337232,0.330698,0.310043
TT,0.488187,0.375653,0.299174
AQs,0.317236,0.308707,0.293628
KQs,0.278838,0.290357,0.284187
AJs,0.297178,0.289181,0.279122
AKo,0.330433,0.309891,0.278736
KJs,0.258654,0.270423,0.270514
ATs,0.280265,0.273826,0.267507
99,0.429509,0.330079,0.266204
QJs,0.23397,0.255464,0.261992
KTs,0.243991,0.25546,0.259195
AQo,0.3087,0.288071,0.259053
QTs,0.219177,0.240059,0.250776
KQo,0.268924,0.267829,0.249858
JTs,0.202571,0.230286,0.248092
AJo,0.289721,0.268962,0.243759
A9s,0.258658,0.249219,0.241236
88,0.378871,0.293443,0.240143
KJo,0.251509,0.249378,0.23503
K9s,0.226078,0.230779,0.232942
A8s,0.24122,0.2336,0.231624
ATo,0.271522,0.251133,0.229679
QJo,0.226309,0.234401,0.228854
Q9s,0.203795,0.218078,0.225539
A7s,0.227873,0.222702,0.22511
T9s,0.176113,0.204193,0.224376
J9s,0.188026,0.209554,0.224042
KTo,0.236181,0.233638,0.223026
A5s,0.203499,0.208824,0.22227
77,0.335427,0.2615,0.219053
QTo,0.211787,0.218971,0.216672
A6s,0.213487,0.211087,0.216491
A4s,0.191447,0.200589,0.215971
JTo,0.195227,0.209646,0.214298
K8s,0.206527,0.2105,0.21427
A3s,0.180597,0.194549,0.212873
Q8s,0.186421,0.198788,0.206996
K7s,0.194915,0.199915,0.206617
T8s,0.162342,0.186228,0.205664
A2s,0.169438,0.190021,0.205353
J8s,0.172433,0.191125,0.205114
98s,0.154751,0.180593,0.202893
A9o,0.250944,0.22562,0.201805
66,0.296307,0.235157,0.201372
K6s,0.182432,0.189263,0.199634
K5s,0.1714,0.181072,0.194528
K9o,0.216943,0.20889,0.194398
A8o,0.23448,0.211341,0.191963
Q7s,0.172216,0.180811,0.190779
K4s,0.161782,0.173916,0.190385
Q9o,0.195464,0.196055,0.189368
T9o,0.169001,0.182885,0.189222
T7s,0.149354,0.168747,0.189035
97s,0.142527,0.166357,0.188969
87s,0.136011,0.16268,0.187998
J9o,0.179991,0.188069,0.187501
J7s,0.158017,0.172278,0.186841
K3s,0.150995,0.16841,0.185514
Q6s,0.161444,0.171568,0.184657
55,0.260881,0.210894,0.184098
A7o,0.220367,0.198977,0.183454
K2s,0.1432,0.164424,0.182507
Q5s,0.152294,0.163775,0.180312
A5o,0.195727,0.185134,0.180067
76s,0.11915,0.149045,0.178475
86s,0.124675,0.150629,0.177605
Q4s,0.140947,0.156307,0.174766
A4o,0.183948,0.177322,0.174679
T6s,0.136239,0.153717,0.174275
A6o,0.205439,0.186762,0.173995
K8o,0.199793,0.188347,0.173795
96s,0.12998,0.150495,0.173696
J6s,0.145037,0.156967,0.172727
44,0.232562,0.19298,0.172017
Q3s,0.134325,0.152874,0.171911
65s,0.105787,0.137553,0.170201
A3o,0.172457,0.171097,0.170161
T8o,0.15565,0.164357,0.169204
J5s,0.137003,0.151545,0.169063
Q8o,0.17869,0.176265,0.168173
Q2s,0.12628,0.148744,0.168051
75s,0.108967,0.13635,0.16771
J8o,0.164964,0.168196,0.166665
98o,0.146683,0.15922,0.166328
K7o,0.186836,0.176634,0.165767
54s,0.093495,0.128216,0.164451
J4s,0.128156,0.143672,0.163756
A2o,0.161908,0.165535,0.163174
33,0.207985,0.179322,0.163099
85s,0.114161,0.136146,0.16222
J3s,0.121581,0.140813,0.161141
95s,0.120491,0.13811,0.160347
T5s,0.125486,0.139671,0.160062
K6o,0.174215,0.165862,0.158618
64s,0.097587,0.12657,0.157924
J2s,0.115375,0.136144,0.157092
T4s,0.117894,0.134179,0.156582
22,0.185662,0.165687,0.154981
53s,0.086259,0.119813,0.153654
74s,0.10009,0.124673,0.153526
K5o,0.163835,0.157511,0.1534
87o,0.127997,0.141943,0.152591
T3s,0.111095,0.1294,0.15253
T7o,0.141701,0.147165,0.150532
Q7o,0.164621,0.157953,0.150337
97o,0.133757,0.143497,0.150177
J7o,0.151596,0.15138,0.149047
84s,0.104659,0.124074,0.148167
43s,0.081055,0.114894,0.148143
T2s,0.10482,0.12583,0.147949
K4o,0.153225,0.149979,0.147831
94s,0.109725,0.126543,0.146833
63s,0.088453,0.116506,0.146228
Q6o,0.153073,0.148358,0.14446
93s,0.103147,0.120516,0.142995
K3o,0.143666,0.143672,0.142512
76o,0.112114,0.12769,0.14168
52s,0.078846,0.109951,0.140753
92s,0.097058,0.118422,0.140193
73s,0.090838,0.113536,0.139102
Q5o,0.143655,0.140721,0.138724
K2o,0.135267,0.140735,0.138514
86o,0.117303,0.128296,0.138452
42s,0.073427,0.105587,0.136751
83s,0.096092,0.113559,0.135944
96o,0.123169,0.128783,0.134529
82s,0.090051,0.110107,0.133389
T6o,0.128974,0.130508,0.133283
62s,0.081835,0.10709,0.133222
Q4o,0.134234,0.133489,0.13305
J6o,0.138364,0.134764,0.132943
65o,0.09811,0.115795,0.132054
32s,0.069831,0.102686,0.130011
Q3o,0.126249,0.128536,0.128674
75o,0.101977,0.115261,0.127703
72s,0.083899,0.104315,0.127477
J5o,0.128852,0.127227,0.127131
54o,0.086628,0.107321,0.126155
Q2o,0.118719,0.124939,0.124501
85o,0.106658,0.114889,0.123982
J4o,0.121782,0.121847,0.123195
64o,0.089358,0.105225,0.119755
T5o,0.117518,0.11695,0.119615
J3o,0.114019,0.116938,0.118861
95o,0.110927,0.114007,0.118649
T4o,0.110437,0.111379,0.114955
74o,0.093326,0.103395,0.113797
J2o,0.107043,0.112535,0.113744
53o,0.079127,0.097455,0.11333
T3o,0.104135,0.106835,0.110588
84o,0.09687,0.101749,0.107842
43o,0.073654,0.092745,0.107802
T2o,0.096707,0.102711,0.10636
63o,0.081741,0.094003,0.105402
94o,0.101301,0.101718,0.104415
93o,0.095494,0.097706,0.100922
52o,0.071209,0.086865,0.100171
73o,0.084056,0.091456,0.0994
92o,0.089754,0.094578,0.097732
42o,0.066813,0.083302,0.095454
83o,0.088268,0.091,0.09495
82o,0.082889,0.087423,0.091222
62o,0.073413,0.08327,0.091219
32o,0.062529,0.079621,0.089371
72o,0.076413,0.081461,0.086108
