hand,flop,turn,river
7-5 suited,0.216722,0.261789,0.302223
9-3 offsuit,0.21398,0.228298,0.238772
9-2 suited,0.21353,0.244994,0.269854
8-4 suited,0.212573,0.246921,0.278967
6-5 suited,0.209817,0.259706,0.303953
7-5 offsuit,0.208768,0.238925,0.264361
8-4 offsuit,0.208016,0.22776,0.243917
7-4 suited,0.207875,0.246317,0.283596
9-2 offsuit,0.206159,0.222588,0.230594
8-3 suited,0.20595,0.236212,0.262741
6-5 offsuit,0.202708,0.236958,0.266143
6-4 suited,0.199763,0.243573,0.285746
7-4 offsuit,0.198254,0.223881,0.245234
8-3 offsuit,0.196853,0.213029,0.224715
8-2 suited,0.196506,0.228605,0.256234
7-3 suited,0.195856,0.230887,0.262907
5-4 suited,0.195528,0.245173,0.290645
6-4 offsuit,0.192582,0.222173,0.247443
8-2 offsuit,0.190242,0.207901,0.218255
6-3 suited,0.190212,0.229452,0.266986
7-3 offsuit,0.188327,0.207947,0.224885
5-4 offsuit,0.187239,0.22234,0.254148
7-2 suited,0.18505,0.216335,0.243488
5-3 suited,0.184245,0.228285,0.271884
6-3 offsuit,0.18157,0.20662,0.227505
6-2 suited,0.181327,0.215201,0.248028
4-3 suited,0.179881,0.224654,0.265325
7-2 offsuit,0.178158,0.194865,0.204731
5-3 offsuit,0.177869,0.207335,0.234051
5-2 suited,0.176329,0.216837,0.255855
6-2 offsuit,0.172534,0.19263,0.20778
4-3 offsuit,0.171879,0.200666,0.22579
4-2 suited,0.169962,0.208664,0.246433
5-2 offsuit,0.168989,0.194234,0.215563
3-2 suited,0.166565,0.205991,0.239797
4-2 offsuit,0.162293,0.186562,0.206193
3-2 offsuit,0.156228,0.180781,0.197254
