hand,flop,turn,river
AJs,0.5,0.5,0.5
KK,0.684211,0.421053,0.473684
JJ,0.454545,0.454545,0.454545
Q4s,0.142857,0.142857,0.428571
55,0.25,0.25,0.375
72s,0.222222,0.111111,0.333333
K9o,0.263158,0.263158,0.315789
97o,0.25,0.1875,0.3125
77,0.25,0.25,0.3125
A9s,0.3,0.45,0.3
86s,0.0,0.0,0.3
JTs,0.2,0.3,0.3
K5s,0.15,0.05,0.3
K6s,0.142857,0.214286,0.285714
KJs,0.142857,0.0,0.285714
AA,0.636364,0.454545,0.272727
JTo,0.26087,0.26087,0.26087
AKs,0.25,0.25,0.25
J5s,0.333333,0.25,0.25
KTs,0.166667,0.25,0.25
Q8o,0.129032,0.193548,0.241935
QTo,0.296296,0.37037,0.240741
T7o,0.12,0.16,0.24
54o,0.107143,0.196429,0.232143
AJo,0.192308,0.230769,0.230769
AKo,0.333333,0.212121,0.227273
Q9o,0.136364,0.136364,0.227273
76s,0.0,0.111111,0.222222
A8s,0.5,0.388889,0.222222
KTo,0.26087,0.304348,0.217391
ATo,0.225806,0.193548,0.209677
43s,0.0,0.0,0.2
T8s,0.1,0.1,0.2
A7s,0.2,0.2,0.2
K4o,0.16,0.14,0.2
Q5s,0.1,0.1,0.2
AQo,0.216216,0.162162,0.189189
A6o,0.217391,0.231884,0.188406
96s,0.0,0.09375,0.1875
A3s,0.375,0.4375,0.1875
92s,0.0,0.1875,0.1875
K9s,0.125,0.125,0.1875
KQo,0.148148,0.222222,0.185185
K8o,0.230769,0.166667,0.175214
T3o,0.068966,0.068966,0.172414
98o,0.133333,0.133333,0.166667
J9s,0.166667,0.25,0.166667
AQs,0.333333,0.333333,0.166667
K3s,0.111111,0.111111,0.166667
QJo,0.3,0.2,0.166667
QJs,0.166667,0.25,0.166667
K4s,0.333333,0.25,0.166667
32s,0.0,0.0,0.166667
ATs,0.0,0.166667,0.166667
76o,0.153846,0.24359,0.166667
62s,0.0,0.0,0.166667
TT,0.5,0.333333,0.166667
65o,0.1,0.166667,0.161111
Q6s,0.076923,0.076923,0.153846
T6o,0.074074,0.111111,0.148148
K5o,0.145833,0.1875,0.145833
54s,0.142857,0.142857,0.142857
QQ,0.428571,0.357143,0.142857
84s,0.071429,0.0,0.142857
93s,0.0,0.071429,0.142857
T8o,0.166667,0.208333,0.138889
A4o,0.172414,0.068966,0.137931
T4s,0.090909,0.0,0.136364
J7o,0.108108,0.108108,0.135135
86o,0.133333,0.066667,0.133333
A6s,0.2,0.333333,0.133333
22,0.086957,0.130435,0.130435
42s,0.0,0.041667,0.125
T9s,0.0,0.125,0.125
75o,0.057143,0.114286,0.12381
85o,0.029412,0.147059,0.122549
Q6o,0.137931,0.12069,0.12069
J2o,0.02381,0.095238,0.119048
Q9s,0.235294,0.235294,0.117647
KJo,0.088235,0.088235,0.117647
87o,0.038462,0.076923,0.115385
A2o,0.153846,0.08547,0.111111
84o,0.074074,0.074074,0.111111
53o,0.111111,0.111111,0.111111
T2o,0.125,0.125,0.109375
J8o,0.088235,0.078431,0.107843
A9o,0.142857,0.107143,0.107143
A3o,0.178571,0.214286,0.107143
J6o,0.035714,0.035714,0.107143
Q2o,0.055556,0.069444,0.106481
42o,0.041667,0.104167,0.104167
95o,0.166667,0.119048,0.103175
K7o,0.166667,0.111111,0.101852
K8s,0.2,0.3,0.1
85s,0.1,0.1,0.1
J3o,0.033333,0.1,0.1
94s,0.0,0.1,0.1
J9o,0.230769,0.057692,0.096154
K6o,0.085714,0.071429,0.095238
T5o,0.125,0.15625,0.09375
52s,0.0625,0.0,0.09375
A5o,0.0625,0.0625,0.09375
J6s,0.181818,0.181818,0.090909
Q7s,0.0,0.0,0.090909
J4s,0.0,0.090909,0.090909
J4o,0.045455,0.090909,0.090909
Q8s,0.181818,0.181818,0.090909
A7o,0.058824,0.176471,0.088235
64o,0.130435,0.043478,0.086957
Q3s,0.25,0.166667,0.083333
QTs,0.416667,0.333333,0.083333
A8o,0.1,0.1,0.083333
33,0.166667,0.083333,0.083333
43o,0.0,0.0,0.076923
95s,0.153846,0.076923,0.076923
44,0.076923,0.076923,0.076923
K2o,0.147059,0.117647,0.073529
53s,0.0,0.071429,0.071429
82o,0.142857,0.107143,0.071429
96o,0.107143,0.071429,0.071429
99,0.285714,0.214286,0.071429
63o,0.034483,0.12069,0.068966
82s,0.0,0.0,0.066667
32o,0.0,0.033333,0.066667
