hand,flop,turn,river
Q4o,0.066667,0.05,0.066667
83s,0.133333,0.133333,0.066667
Q5o,0.030303,0.075758,0.065657
87s,0.0625,0.0625,0.0625
83o,0.0625,0.0625,0.0625
Q7o,0.12,0.08,0.06
73o,0.029412,0.058824,0.058824
74o,0.0,0.057143,0.057143
J7s,0.0,0.055556,0.055556
65s,0.0,0.111111,0.055556
64s,0.1,0.0,0.05
A2s,0.0,0.0,0.05
92o,0.0,0.119048,0.047619
66,0.095238,0.095238,0.047619
T5s,0.083333,0.083333,0.041667
Q3o,0.08,0.02,0.04
97s,0.076923,0.0,0.038462
T4o,0.074074,0.111111,0.037037
T9o,0.172414,0.086207,0.034483
94o,0.1,0.033333,0.033333
88,0.125,0.09375,0.03125
K3o,0.0,0.0,0.027778
J5o,0.095238,0.02381,0.02381
72o,0.068182,0.022727,0.022727
62o,0.043478,0.0,0.021739
93o,0.055556,0.069444,0.013889
T2s,0.0,0.0,0.0
J2s,0.142857,0.142857,0.0
K2s,0.1,0.0,0.0
Q2s,0.0,0.0,0.0
74s,0.0,0.0,0.0
63s,0.0,0.0,0.0
A4s,0.0,0.0,0.0
J8s,0.0,0.0,0.0
75s,0.0,0.0,0.0
52o,0.041667,0.0,0.0
T6s,0.083333,0.083333,0.0
T3s,0.142857,0.142857,0.0
K7s,0.125,0.125,0.0
T7s,0.0,0.0,0.0
J3s,0.0,0.125,0.0
KQs,0.0,0.166667,0.0
73s,0.0,0.0,0.0
A5s,0.0,0.0,0.0
98s,0.0,0.0,0.0
