hand,flop,turn,river
AA,0.831649,0.69132,0.557731
KK,0.753565,0.618576,0.496712
QQ,0.681739,0.55512,0.446807
JJ,0.615539,0.496944,0.401327
TT,0.557011,0.44721,0.363922
AKs,0.38588,0.373337,0.354235
AQs,0.366823,0.354443,0.337968
99,0.501842,0.399885,0.326287
KQs,0.314224,0.326955,0.324328
AJs,0.348364,0.335593,0.32274
AKo,0.377921,0.352804,0.322592
ATs,0.329391,0.318116,0.310954
KJs,0.29805,0.309527,0.310538
AQo,0.357979,0.333186,0.304944
QJs,0.264599,0.290398,0.300831
KTs,0.283274,0.294145,0.297853
88,0.451946,0.35939,0.294838
KQo,0.307297,0.30675,0.292821
QTs,0.252156,0.276503,0.290731
AJo,0.339773,0.314205,0.288616
JTs,0.231528,0.264562,0.285821
A9s,0.310297,0.292887,0.283969
KJo,0.291207,0.288867,0.277214
ATo,0.322575,0.297093,0.275595
A8s,0.294479,0.280168,0.274261
K9s,0.264428,0.269637,0.270005
QJo,0.258544,0.271573,0.269121
77,0.406195,0.32297,0.266959
Q9s,0.236172,0.255284,0.264987
KTo,0.275524,0.273375,0.263973
A7s,0.278829,0.266056,0.263856
J9s,0.217087,0.244092,0.260452
A5s,0.253808,0.250572,0.259678
T9s,0.202358,0.235496,0.258507
QTo,0.245102,0.256446,0.257343
A4s,0.241113,0.242199,0.255053
A6s,0.264048,0.252428,0.254684
JTo,0.224294,0.245121,0.253742
K8s,0.246935,0.249141,0.250862
A3s,0.228451,0.234019,0.247511
A9o,0.302544,0.272029,0.246758
66,0.364923,0.29236,0.24522
Q8s,0.221872,0.234893,0.244146
K7s,0.234495,0.2379,0.243968
J8s,0.201548,0.224676,0.240593
A2s,0.215088,0.227005,0.240558
T8s,0.189246,0.217752,0.239403
K6s,0.221632,0.227068,0.235651
K9o,0.257115,0.248531,0.235442
98s,0.180546,0.211782,0.235282
A8o,0.286559,0.257442,0.235256
K5s,0.210847,0.218366,0.231095
Q9o,0.228107,0.232609,0.227612
Q7s,0.205872,0.216954,0.225237
T9o,0.195273,0.215162,0.224943
A7o,0.270835,0.24342,0.224868
J9o,0.208578,0.222024,0.224565
55,0.326527,0.262007,0.222941
K4s,0.199977,0.208591,0.222779
J7s,0.188472,0.206622,0.22262
87s,0.161155,0.193442,0.221596
T7s,0.176569,0.200727,0.221229
97s,0.167541,0.195905,0.220277
A5o,0.245197,0.227406,0.219856
K3s,0.189736,0.201751,0.218282
Q6s,0.194563,0.205601,0.218045
A6o,0.256956,0.230752,0.213791
K2s,0.179756,0.197884,0.213044
A4o,0.233108,0.218485,0.213025
K8o,0.241016,0.227952,0.212891
Q5s,0.182385,0.195587,0.212246
76s,0.142623,0.175004,0.206788
Q4s,0.173416,0.189143,0.206717
Q8o,0.212734,0.212685,0.206254
86s,0.148772,0.178061,0.206134
44,0.29478,0.23873,0.205781
A3o,0.220385,0.210408,0.205769
K7o,0.226632,0.215348,0.204022
T6s,0.163515,0.183215,0.204003
96s,0.156361,0.180065,0.204
J6s,0.17402,0.189047,0.203955
T8o,0.181842,0.196617,0.203517
J8o,0.193764,0.202266,0.202835
Q3s,0.165494,0.182994,0.200938
J5s,0.166921,0.181606,0.200622
98o,0.172176,0.190404,0.199982
A2o,0.20827,0.203747,0.198175
65s,0.129439,0.163238,0.197027
K6o,0.215055,0.203896,0.196196
Q2s,0.156563,0.17842,0.196196
75s,0.133872,0.163328,0.194352
J4s,0.156639,0.173767,0.194154
33,0.263554,0.217357,0.190749
85s,0.138537,0.162814,0.18949
54s,0.117906,0.153738,0.189282
J3s,0.149345,0.168027,0.189232
K5o,0.202571,0.193696,0.188411
T5s,0.150697,0.167411,0.187668
95s,0.14349,0.16369,0.187066
Q7o,0.198,0.193257,0.186148
T4s,0.144186,0.163135,0.185356
J2s,0.141156,0.163095,0.184488
64s,0.120356,0.151306,0.184171
87o,0.153598,0.171611,0.184005
T7o,0.169132,0.178117,0.18386
97o,0.160177,0.174237,0.183399
J7o,0.179502,0.183307,0.182681
K4o,0.191789,0.185663,0.182269
T3s,0.135151,0.155438,0.179161
Q6o,0.186689,0.182745,0.178706
74s,0.124529,0.150169,0.178533
22,0.236486,0.19819,0.176934
53s,0.107417,0.140918,0.176551
K3o,0.180694,0.177853,0.175982
T2s,0.130187,0.152819,0.17519
84s,0.129024,0.150322,0.174538
Q5o,0.175663,0.173454,0.172261
94s,0.133896,0.151132,0.171625
K2o,0.171294,0.173327,0.170611
76o,0.136803,0.155252,0.170318
43s,0.102201,0.135953,0.169188
93s,0.127527,0.147074,0.16887
63s,0.111048,0.138193,0.168642
86o,0.142173,0.155615,0.167401
Q4o,0.165886,0.165899,0.165359
73s,0.114192,0.136505,0.165047
T6o,0.155957,0.161038,0.16482
96o,0.147793,0.157572,0.164745
J6o,0.166797,0.166019,0.164742
92s,0.12065,0.141937,0.163433
52s,0.099524,0.131219,0.162326
83s,0.11862,0.13792,0.160487
Q3o,0.157833,0.159787,0.159776
J5o,0.157248,0.157924,0.15961
65o,0.121998,0.140712,0.158802
82s,0.112863,0.132944,0.157101
42s,0.094283,0.124457,0.156069
75o,0.126174,0.141089,0.155648
62s,0.10263,0.127571,0.154087
Q2o,0.148878,0.154438,0.153851
J4o,0.148988,0.150427,0.152701
85o,0.1309,0.14085,0.151259
54o,0.108894,0.131192,0.150817
72s,0.10633,0.126745,0.150032
32s,0.08841,0.120261,0.149775
T5o,0.143995,0.145001,0.148851
J3o,0.140991,0.145355,0.148171
95o,0.136629,0.142433,0.147829
64o,0.112694,0.128195,0.143627
T4o,0.136356,0.139013,0.143521
J2o,0.13381,0.140123,0.141606
74o,0.116267,0.127496,0.139307
T3o,0.128363,0.132998,0.137585
53o,0.10056,0.119553,0.137063
84o,0.121127,0.127365,0.134593
T2o,0.12167,0.128384,0.132047
94o,0.125692,0.127536,0.131138
43o,0.094952,0.113777,0.129305
63o,0.103372,0.116036,0.127855
93o,0.119663,0.123524,0.127398
73o,0.107755,0.11522,0.123037
92o,0.11296,0.118447,0.122177
52o,0.092255,0.107574,0.120487
83o,0.111336,0.114771,0.119092
42o,0.08686,0.102877,0.115513
82o,0.105149,0.110031,0.114572
62o,0.094381,0.103492,0.112
32o,0.081827,0.098068,0.108084
72o,0.097839,0.102996,0.107245
