hand,flop,turn,river
T6s,0.099954,0.115325,0.134087
Q3s,0.095678,0.113731,0.132964
Q2s,0.089419,0.113219,0.132771
J6s,0.106469,0.115567,0.132719
22,0.135427,0.135172,0.132304
A5o,0.138269,0.134523,0.131076
A7o,0.16174,0.145832,0.130698
64s,0.068633,0.09959,0.129684
J4s,0.093581,0.109361,0.129557
J5s,0.099554,0.111678,0.128573
A4o,0.128867,0.12816,0.126869
85s,0.080985,0.103164,0.126663
53s,0.060504,0.096271,0.126313
T8o,0.117259,0.120941,0.124797
T5s,0.090489,0.104317,0.12466
A6o,0.146949,0.133955,0.124591
J3s,0.088086,0.105135,0.124387
K8o,0.152056,0.137597,0.123925
A3o,0.119563,0.124329,0.123452
95s,0.084818,0.101594,0.123302
74s,0.070224,0.095565,0.123059
J2s,0.081897,0.101964,0.122563
98o,0.108778,0.116452,0.122141
43s,0.057144,0.091755,0.121928
J8o,0.126754,0.124116,0.121711
Q8o,0.13726,0.12956,0.1211
T4s,0.08389,0.099403,0.120002
63s,0.062459,0.091354,0.119469
84s,0.074616,0.095538,0.118902
T3s,0.079092,0.098406,0.11888
A2o,0.109531,0.119808,0.118434
K7o,0.139378,0.128127,0.117952
T2s,0.074765,0.094874,0.11686
94s,0.07914,0.093386,0.114878
87o,0.092816,0.103352,0.114307
52s,0.054019,0.086244,0.113735
K6o,0.126884,0.119396,0.113329
73s,0.06352,0.088362,0.111909
42s,0.052353,0.085794,0.111354
97o,0.097564,0.104673,0.111084
93s,0.071407,0.089983,0.110555
92s,0.069141,0.089605,0.109874
T7o,0.104967,0.105911,0.108462
K5o,0.116872,0.11222,0.107873
62s,0.056779,0.083021,0.10729
32s,0.048631,0.082368,0.107062
J7o,0.113506,0.109281,0.106636
Q7o,0.122239,0.112922,0.106561
76o,0.079338,0.094135,0.106488
83s,0.064092,0.083229,0.105135
K4o,0.108076,0.106905,0.104877
82s,0.063192,0.083635,0.10397
86o,0.082826,0.092969,0.103229
65o,0.067484,0.087423,0.102835
Q6o,0.111941,0.106351,0.102408
K3o,0.101043,0.103202,0.101712
72s,0.05658,0.079878,0.100728
K2o,0.094119,0.101089,0.09941
Q5o,0.103629,0.10052,0.099013
96o,0.087687,0.092949,0.098025
54o,0.059185,0.081035,0.097685
75o,0.070246,0.084034,0.097212
T6o,0.094175,0.094689,0.096588
Q4o,0.097118,0.096284,0.094825
J6o,0.101162,0.095355,0.093249
64o,0.060919,0.078103,0.091221
Q3o,0.090157,0.0921,0.091036
85o,0.074349,0.082713,0.090374
J5o,0.092358,0.089256,0.08938
Q2o,0.082696,0.089355,0.088443
53o,0.054073,0.074458,0.088222
J4o,0.086128,0.085477,0.086349
95o,0.077813,0.080248,0.084783
T5o,0.084944,0.082171,0.084506
74o,0.062875,0.074544,0.084032
J3o,0.080604,0.082413,0.083942
43o,0.050357,0.070458,0.082795
J2o,0.074665,0.079901,0.08179
T4o,0.077794,0.078193,0.081257
63o,0.054373,0.069375,0.079486
T3o,0.071794,0.074823,0.077403
84o,0.06555,0.071869,0.077341
52o,0.047743,0.065234,0.075705
T2o,0.06697,0.072992,0.075591
42o,0.045508,0.063902,0.073668
94o,0.068994,0.070136,0.072769
73o,0.057226,0.066035,0.072027
93o,0.065091,0.06769,0.070064
32o,0.041976,0.060299,0.068652
92o,0.061066,0.066538,0.068265
62o,0.049453,0.060908,0.0677
83o,0.058758,0.063253,0.066702
82o,0.055308,0.061611,0.064221
72o,0.050005,0.056784,0.061114
