hand,flop,turn,river
AA,0.723684,0.531667,0.390166
KK,0.617144,0.448191,0.330031
QQ,0.523058,0.37652,0.28424
AKs,0.284043,0.275409,0.250287
JJ,0.446305,0.319625,0.247074
AQs,0.261431,0.252127,0.233498
KQs,0.231077,0.234953,0.225896
AJs,0.238495,0.231935,0.219062
TT,0.377856,0.27349,0.215877
AKo,0.273105,0.251817,0.214662
KJs,0.213128,0.21669,0.214079
QJs,0.194345,0.207255,0.211822
ATs,0.219428,0.215587,0.211169
KTs,0.194801,0.200844,0.204756
QTs,0.177488,0.192209,0.198297
JTs,0.162615,0.181338,0.197521
AQo,0.252359,0.22967,0.197511
99,0.323614,0.237563,0.193936
KQo,0.223988,0.213998,0.190649
A9s,0.199051,0.192452,0.188297
AJo,0.230997,0.209626,0.182587
K9s,0.175628,0.179904,0.181376
A8s,0.182753,0.179827,0.180241
88,0.277819,0.210914,0.177454
T9s,0.137405,0.158579,0.176293
A5s,0.149274,0.161099,0.176089
KJo,0.203394,0.193963,0.175807
J9s,0.145304,0.161298,0.174983
Q9s,0.158038,0.167554,0.174837
A7s,0.168925,0.170979,0.173532
QJo,0.185631,0.18313,0.173054
ATo,0.211659,0.193235,0.17202
A4s,0.135658,0.151953,0.171142
A6s,0.15311,0.157551,0.168108
A3s,0.128058,0.148708,0.167124
KTo,0.186907,0.179819,0.166603
K8s,0.160549,0.162908,0.166101
77,0.240039,0.188937,0.164534
A2s,0.117859,0.144113,0.163126
JTo,0.156535,0.161941,0.163016
QTo,0.169981,0.168564,0.162609
T8s,0.123659,0.141822,0.161485
Q8s,0.141856,0.15113,0.159982
K7s,0.145883,0.150684,0.159433
J8s,0.132736,0.145508,0.159103
98s,0.116432,0.137066,0.158685
K6s,0.135316,0.14454,0.154398
66,0.20709,0.169767,0.152638
K5s,0.124664,0.137432,0.152603
87s,0.099078,0.125822,0.150268
K4s,0.113811,0.131838,0.149975
97s,0.107667,0.128356,0.149546
T7s,0.115094,0.12983,0.147353
76s,0.085161,0.115639,0.147266
K3s,0.10874,0.128699,0.146509
Q7s,0.130778,0.136822,0.145533
J7s,0.121654,0.130883,0.14528
A9o,0.189527,0.167859,0.145084
K2s,0.102931,0.126667,0.143597
55,0.184576,0.156943,0.143445
K9o,0.167849,0.156554,0.141092
T9o,0.131429,0.136858,0.141087
Q6s,0.118791,0.126759,0.140794
86s,0.088685,0.114095,0.140104
J9o,0.140472,0.141908,0.139763
65s,0.07578,0.108141,0.139496
44,0.163187,0.147241,0.139089
Q5s,0.112968,0.123382,0.139007
A8o,0.175225,0.156952,0.138156
Q9o,0.152944,0.146919,0.13799
Q4s,0.104252,0.119153,0.137662
96s,0.095136,0.113411,0.135968
54s,0.065877,0.101856,0.134496
33,0.147007,0.139614,0.134336
75s,0.077111,0.106375,0.134164
